	Movie_ID	Title	Year	Genre	Genre_Combined
1428	36266	Pyar Ka Live Show	2014	Drama	Drama
1429	36267	The Dark Secrets Of Tonhi	2014	Drama/Action	Drama/Action
1430	36268	Anuradha	2014	Drama	Drama
1431	36269	Shaadi Ke Side Effects	2014	Romance/Comedy	Romance/Comedy
1432	36270	Gulaab Gang	2014	Social/Action	Social/Action
1433	36271	Queen	2014	Romance/Drama	Romance/Drama
1434	36272	Total Siyapaa	2014	Drama/Comedy	Drama/Comedy
1435	36273	Bewakoofiyaan	2014	Romance	Romance
1436	36274	Neighbours	2014	Horror	Horror
1437	36275	W	2014	Thriller	Thriller
1438	36276	Ankhon Dekhi	2014	Comedy	Comedy
1439	36277	Gang of Ghosts	2014	Horror Comedy	Horror Comedy
1440	36278	Lakshmi	2014	Drama	Drama
1441	36279	Ragini MMS 2	2014	Horror/Adult	Horror/Adult
1442	36280	Dishkiyaoon	2014	Action	Action
1443	36281	O Teri	2014	Comedy	Comedy
1444	36282	Station	2014	Thriller	Thriller
1445	36283	Youngistaan	2014	Drama	Drama
1446	36284	Ebn-E-Batuta	2014	Sci-fi/Comedy	Sci-fi/Comedy
1447	36285	Honour Killing	2014	Social	Social
1448	36286	Jal	2014	Drama/Fantasy	Drama/Fantasy
1449	36287	Main Tera Hero	2014	Comedy	Comedy
1450	36288	Bhoothnath Returns	2014	Fantasy/Children	Fantasy/Children
1451	36289	2 States	2014	Romance	Romance
1452	36290	Dekh Tamasha Dekh	2014	Comedy	Comedy
1453	36291	Lucky Kabootar	2014	Romance/Comedy	Romance/Comedy
1454	36292	Kaanchi: The Unbreakable	2014	Musical/Drama	Musical/Drama
1455	36293	Revolver Rani	2014	Drama	Drama
1456	36294	Samrat & Co.	2014	Mystery/Thriller/Drama	Mystery/Thriller/Drama
1457	36295	Purani Jeans	2014	Romance/Drama	Romance/Drama
1458	36296	Kya Dilli Kya Lahore	2014	Social	Social
1459	36297	Angry Young Man	2014	Action	Action
1460	36298	Kahin Hai Mera Pyar	2014	Romance	Romance
1461	36299	Hawaa Hawaai	2014	Drama	Drama
1462	36300	Khwaabb	2014	Romance/Drama	Romance/Drama
1463	36301	Koyelaanchal	2014	Action	Action
1464	36302	Manjunath	2014	Drama	Drama
1465	36303	Mastram	2014	Adult	Adult
1466	36304	Yeh Hai Bakrapur	2014	Comedy	Comedy
1467	36305	The Xposé	2014	Thriller	Thriller
1468	36306	Children of War	2014	Drama	Drama
1469	36307	M3 - Midsummer Midnight Mumbai	2014	Mystery	Mystery
1470	36308	Heropanti	2014	Romance/Action	Romance/Action
1471	36309	CityLights	2014	Drama	Drama
1472	36310	Kuku Mathur Ki Jhand Ho Gayi	2014	Comedy	Comedy
1473	36311	Filmistaan	2014	Comedy	Comedy
1474	36312	Holiday: A Soldier Is Never Off Duty	2014	Action/Thriller	Action/Thriller
